Bin Name,Area,Items,Tags
Kitchen Utensils,Kitchen,Whisk; Silicone Spatula (2); Measuring Cups; Rolling Pin; Wooden Ladle; Socket Wrench,kitchen; cooking
Winter Accessories,Bedroom Closet,Wool Scarf (2); Leather Gloves; Thermal Socks (4); Knit Beanie; Earmuffs; Flip Flops,clothing; winter
Charging Cables,Home Office,USB-C Cable (5); HDMI Cable (2); Lightning Cable (3); Wall Charger; Cable Ties; Green Tea Bag,electronics; cables
Bathroom Stock,Master Bath,Shampoo Refill; Bar Soap (6); Toothbrush (4); Cotton Swabs; Dental Floss; Stapler,bathroom; toiletries
Art Supplies,Craft Room,Acrylic Paint Tubes (12); Watercolor Brushes; Sketchbook (3); Charcoal Pencils; Canvas Board (2); Jar of Peanut Butter,art; craft
Camping Gear,Garage,Tent Stakes (8); Sleeping Bag; Camp Stove; Headlamp; Mess Kit; Curtain Rod,outdoor; camping
Holiday Decor,Attic,String Lights (3); Glass Ornaments (24); Tinsel; Wreath Hooks; Nativity Set; Motor Oil,holiday; seasonal
Gardening Tools,Garden Shed,Hand Trowel; Pruning Shears; Seed Packets (12); Garden Gloves; Watering Can; Computer Mouse,garden; tools
Board Games,Living Room,Monopoly; Scrabble; Playing Cards (3); Dice Set; Ticket to Ride; Fish Food,games; entertainment
First Aid Kit,Hallway Closet,Adhesive Bandages (25); Antiseptic Wipes; Gauze Pads; Digital Thermometer; Ibuprofen; Phillips Screwdriver,medical; emergency
Baking Pantry,Kitchen Pantry,All-Purpose Flour; Granulated Sugar; Vanilla Extract; Baking Powder; Cocoa Powder; Fishing Lure,baking; pantry
Pet Supplies,Laundry Room,Dog Leash (2); Food Bowls; Chew Toys (5); Pet Shampoo; Nail Clippers; Laptop Charger,pets; dog
Fasteners,Garage Workbench,Wood Screws (200); Nails (150); Wall Anchors; Picture Hooks; Machine Bolts; Bag of Marshmallows,hardware; diy
Cleaning Supplies,Utility Closet,Window Cleaner; Mop Heads (3); Microfiber Cloths (10); Rubber Gloves; Toilet Brush; Deck of Playing Cards,cleaning; household
Office Supplies,Home Office,Printer Paper; Paper Clips; Sticky Notes (6); Staples; Highlighters (5); Hiking Boots,office; stationery
Car Care,Garage,Wiper Blades; Engine Oil (2); Tire Pressure Gauge; Jumper Cables; Car Wax; Picture Frame,automotive; maintenance
Sewing Kit,Craft Room,Sewing Needles; Thread Spools (12); Assorted Buttons; Fabric Scissors; Pin Cushion; AA Batteries (4),sewing; craft
Kids Toys,Playroom,Lego Bricks; Toy Cars (8); Stuffed Bear; Jigsaw Puzzles (4); Crayons; Tax Return 2019,kids; toys
Photography Gear,Home Office,Camera Batteries (4); SD Cards (6); Lens Cloth; Tripod Plate; Lens Cap; Pack of Gum,photography; electronics
Cookbooks,Living Room Bookshelf,Joy of Cooking; Mastering the Art of French Cooking; Recipe Binder; Cookbook Stand; The Flavor Bible; Tennis Racket,books; cooking
